CONT,ID,ISO,NAME,ISONAME,region,pop,popAGR,popUrban,totalFR,AdolescentFPpct,AdolescentFPyear,AdultLiteracypct,MaleSchoolpct,FemaleSchoolpct,GNI,PopPovertypct,PopPovertyYear
91,180,44,BAHAMAS,BAHAMAS,AMR,323063,0.013369958554,0.9,2.3,,,,0.85,0.88,16140,,
91,227,84,BELIZE,BELIZE,AMR,269736,0.02135438414,0.486,3.1,0.125,1998,0.769,0.98,1,6510,,
91,260,124,CANADA,CANADA,AMR,32268243,0.0087137425128,0.811,1.5,0.065,1997,,1,1,30660,,
91,295,188,COSTA RICA,COSTA RICA,AMR,4327228,0.020412388224,0.617,2.2,0.174,1999,0.958,0.9,0.91,9530,0.02,2000
91,300,192,CUBA,CUBA,AMR,11269400,0.0034270319283,0.76,1.6,0.16,2000,0.998,0.96,0.95,,,
91,320,214,DOMINICAN REPUBLIC,DOMINICAN REPUBLIC,AMR,8894907,0.013436630772,0.601,2.7,0.102,1999,0.877,0.99,0.94,6750,,1998
91,330,222,EL SALVADOR,EL SALVADOR,AMR,6880951,0.017800614745,0.601,2.8,,,0.797,0.9,0.9,4980,0.311,2000
91,415,320,GUATEMALA,GUATEMALA,AMR,12599059,0.021176968439,0.472,4.5,0.121,1997,0.691,0.89,0.86,4140,0.16,2000
91,420,332,HAITI,HAITI,AMR,8527777,0.012959128698,0.388,3.9,0.085,1998,0.519,,,1680,,
91,430,340,HONDURAS,HONDURAS,AMR,7204723,0.022814101346,0.464,3.6,,,0.8,0.87,0.88,2710,0.207,1999
91,487,388,JAMAICA,JAMAICA,AMR,2650713,0.0060713393653,0.522,2.4,,,0.876,0.94,0.95,3630,,2000
91,595,484,MEXICO,MEXICO,AMR,107029360,0.013402629944,0.76,2.3,,,0.903,0.99,1,9590,0.099,2000
91,665,558,NICARAGUA,NICARAGUA,AMR,5486685,0.018472706809,0.581,3.2,0.185,1999,0.767,0.86,0.85,3300,0.451,2001
91,710,591,PANAMA,PANAMA,AMR,3231502,0.01746947253,0.578,2.7,0.179,2000,0.919,1,0.99,6870,0.072,2000
91,763,659,SAINT KITTS/NEVIS,SAINT KITTS AND NEVIS,AMR,42696,0.0046636327043,0.319,2.4,,,,,,11190,,
91,926,840,UNITED STATES,UNITED STATES,AMR,298212895,0.0091832420353,0.808,2,0.116,2000,,0.92,0.93,39710,,
92,149,28,ANTIGUA/BARBUDA,ANTIGUA AND BARBUDA,AMR,81485,0.014752684466,0.384,2.3,,,,,,10360,,
92,150,32,ARGENTINA,ARGENTINA,AMR,38747148,0.0097164900185,0.906,2.3,0.133,2000,0.972,,,12460,0.033,2001
92,184,52,BARBADOS,BARBADOS,AMR,269556,0.0025762890673,0.529,1.5,,,0.997,1,1,15060,,
92,205,68,BOLIVIA,BOLIVIA,AMR,9182015,0.018750609213,0.644,3.8,0.109,2002,0.865,0.95,0.95,2590,0.144,1999
92,220,76,BRAZIL,BRAZIL,AMR,186404913,0.013158167048,0.842,2.3,,,0.884,0.98,0.91,8020,0.082,2001
92,275,152,CHILE,CHILE,AMR,16295102,0.011406661747,0.877,2,0.155,1999,0.957,0.85,0.84,10500,,2000
92,285,170,COLOMBIA,COLOMBIA,AMR,45600244,0.015421037274,0.774,2.6,0.188,2004,0.942,0.88,0.87,6820,0.082,1999
92,318,212,DOMINICA,DOMINICA,AMR,78940,0.0045065361574,0.727,2,,,,0.83,0.79,5250,,
92,325,218,ECUADOR,ECUADOR,AMR,13228423,0.013563494808,0.628,2.7,0.135,1997,0.91,0.99,1,3690,0.177,1998
92,406,308,GRENADA,GRENADA,AMR,102924,0.0027984777317,0.422,2.4,,,,0.89,0.8,7000,,
92,418,328,GUYANA,GUYANA,AMR,751218,0.0024192766987,0.385,2.2,,,,1,0.98,4110,,
92,715,600,PARAGUAY,PARAGUAY,AMR,6158259,0.022252398652,0.585,3.8,0.1,1997,0.916,0.89,0.89,4870,0.164,2002
92,720,604,PERU,PERU,AMR,27968244,0.014627850044,0.746,2.8,0.115,1998,0.877,1,1,5370,0.181,2000
92,770,662,ST. LUCIA,SAINT LUCIA,AMR,160765,0.0075857890552,0.313,2.2,0.141,2000,0.901,0.99,1,5560,,
92,775,670,SAINT VINCENT/GRENADINES,SAINT VINCENT AND THE GRENADINES,AMR,119051,0.0047223223334,0.605,2.2,,,,0.9,0.9,6250,,
92,840,740,SURINAME,SURINAME,AMR,449238,0.0074303062189,0.772,2.6,0.125,2000,0.88,0.96,0.98,,,
92,887,780,TRINIDAD AND TOBAGO,TRINIDAD AND TOBAGO,AMR,1305236,0.0032847906364,0.762,1.6,0.126,1997,0.985,0.91,0.9,11180,,
92,930,858,URUGUAY,URUGUAY,AMR,3463197,0.006671983177,0.93,2.3,0.148,2000,0.977,0.9,0.91,9070,,2000
92,940,862,VENEZUELA,VENEZUELA,AMR,26749114,0.017541865018,0.881,2.7,0.181,2000,0.93,0.9,0.91,5760,0.143,1998
93,115,31,AZERBAIJAN,AZERBAIJAN,EUR,8410801,0.0070049733484,0.499,1.8,0.106,2000,0.988,0.81,0.79,3830,0.037,2001
93,120,8,ALBANIA,ALBANIA,EUR,3129678,-0.00068337945659,0.45,2.2,0.038,1999,0.987,0.96,0.94,5070,,2002
93,135,51,ARMENIA,ARMENIA,EUR,3016312,-0.0064069254403,0.641,1.3,0.15,1998,0.994,0.95,0.93,4270,0.128,1998
93,140,20,ANDORRA,ANDORRA,EUR,67151,0.0040852302855,0.913,1.3,,,,0.88,0.9,,,
93,165,40,AUSTRIA,AUSTRIA,EUR,8189444,0.0015371574031,0.658,1.4,0.052,2001,,0.89,0.91,31790,,
93,185,70,BOSNIA/HERZEGOVINA,BOSNIA AND HERZEGOVINA,EUR,3907074,0.013464086702,0.453,1.3,0.084,1998,0.946,,,7430,,
93,190,56,BELGIUM,BELGIUM,EUR,10419049,0.0025638048148,0.973,1.7,,,,1,1,31360,,
93,211,112,BELARUS,BELARUS,EUR,9755106,-0.0043603586379,0.716,1.2,0.104,2001,0.996,0.95,0.94,6900,,2000
93,245,100,BULGARIA,BULGARIA,EUR,7725965,-0.0064064172605,0.705,1.2,0.179,2001,0.982,0.91,0.9,7870,0.047,2001
93,310,203,CZECH REPUBLIC,CZECH REPUBLIC,EUR,10219603,-0.00098894442214,0.745,1.2,0.05,2001,,0.87,0.87,18400,,
93,315,208,DENMARK,DENMARK,EUR,5430590,0.0035085437976,0.855,1.8,0.022,2001,,1,1,31550,,
93,331,233,ESTONIA,ESTONIA,EUR,1329697,-0.008006781325,0.696,1.4,0.09,2001,0.998,0.95,0.94,13190,,1998
93,340,246,FINLAND,FINLAND,EUR,5249060,0.0024674478401,0.609,1.7,0.031,2001,,1,1,29560,,
93,350,250,FRANCE,FRANCE,EUR,60495537,0.0034744693065,0.767,1.9,0.028,1999,,0.99,0.99,29320,,
93,390,268,GEORGIA,GEORGIA,EUR,4474404,-0.010728492946,0.515,1.4,0.187,1998,,0.89,0.88,2930,0.027,2001
93,394,276,GERMANY,GERMANY,EUR,82689210,0.0011988925312,0.885,1.3,0.048,2000,,,,27950,,
93,400,300,GREECE,GREECE,EUR,11119891,0.0040617942255,0.614,1.2,0.044,1999,0.91,0.99,0.99,22000,,
93,416,826,GUERNSEY,UNITED KINGDOM,EUR,59667844,0.003093483596,0.892,1.7,0.088,2000,,1,1,31460,,
93,440,191,CROATIA,CROATIA,EUR,4551338,-0.0028037984816,0.599,1.3,0.056,2001,0.981,0.9,0.89,11670,,2001
93,445,348,HUNGARY,HUNGARY,EUR,10097731,-0.0020009559191,0.659,1.3,0.086,2001,0.993,0.91,0.9,15620,,2002
93,450,352,ICELAND,ICELAND,EUR,294561,0.0087960661721,0.93,2,0.054,2000,,1,0.99,32360,,
93,470,372,IRELAND,IRELAND,EUR,4147901,0.012337568827,0.604,1.9,0.049,2001,,0.95,0.97,33170,,
93,480,380,ITALY,ITALY,EUR,58092744,0.001269611123,0.675,1.3,0.028,2000,,1,0.99,27860,,
93,495,826,JERSEY,UNITED KINGDOM,EUR,59667844,0.003093483596,0.892,1.7,0.088,2000,,1,1,31460,,
93,541,428,LATVIA,LATVIA,EUR,2306988,-0.0074199021672,0.659,1.3,0.073,2001,0.997,0.86,0.85,11850,,1998
93,542,440,LITHUANIA,LITHUANIA,EUR,3431033,-0.0052150810434,0.666,1.3,0.086,2001,0.996,0.91,0.91,12610,,2000
93,548,703,SLOVAKIA,SLOVAKIA,EUR,5400908,0.00070257096174,0.58,1.2,0.088,2001,0.996,0.85,0.86,14370,,
93,570,442,LUXEMBOURG,LUXEMBOURG,EUR,464904,0.012577236239,0.924,1.7,0.036,2001,,0.9,0.91,61220,,
93,574,807,MACEDONIA,"MACEDONIA, THE FORMER YUGOSLAV REPUBLIC OF",EUR,2034060,0.003361202369,0.597,1.5,,,0.961,0.91,0.91,6480,,1998
93,576,498,MOLDOVA,"MOLDOVA, REPUBLIC OF",EUR,4205747,-0.002820645125,0.463,1.2,0.138,2001,0.962,0.79,0.79,1930,0.22,2001
93,588,826,MAN,UNITED KINGDOM,EUR,59667844,0.003093483596,0.892,1.7,0.088,2000,,1,1,31460,,
93,590,470,MALTA,MALTA,EUR,401630,0.0056837605609,0.921,1.5,0.058,2001,0.879,0.96,0.96,18720,,
93,607,492,MONACO,MONACO,EUR,35253,0.009872443204,1,1.8,,,,,,,,
93,630,528,NETHERLANDS,NETHERLANDS,EUR,16299173,0.0048560658249,0.668,1.7,0.023,2001,,1,0.99,31220,,
93,685,578,NORWAY,NORWAY,EUR,4620275,0.0053463510836,0.805,1.8,0.031,2001,,1,1,38550,,
93,688,688,SERBIA,SERBIA,EUR,10503115,-0.00036565370658,0.523,1.6,0.077,2000,0.964,0.96,0.96,,,
93,730,616,POLAND,POLAND,EUR,38529562,-9.2335291119e-05,0.62,1.2,0.061,2001,,0.98,0.98,12640,,2001
93,735,620,PORTUGAL,PORTUGAL,EUR,10494502,0.0040244085136,0.556,1.5,0.069,2001,,1,0.99,19250,,
93,755,642,ROMANIA,ROMANIA,EUR,21711472,-0.0040001336048,0.547,1.3,0.148,2000,0.973,0.89,0.88,8190,,2002
93,782,674,SAN MARINO,SAN MARINO,EUR,28117,0.0082272518876,0.887,1.2,,,,,,,,
93,789,705,SLOVENIA,SLOVENIA,EUR,1966814,0.00016408374152,0.508,1.2,0.026,2001,0.997,0.94,0.93,20730,,1998
93,830,724,SPAIN,SPAIN,EUR,43064189,0.006627051571,0.767,1.3,0.036,2000,0.971,1,0.99,25070,,
93,850,752,SWEDEN,SWEDEN,EUR,9041262,0.0020304357166,0.834,1.7,0.021,2001,,1,0.99,29770,,
93,855,756,SWITZERLAND,SWITZERLAND,EUR,7252331,0.0033270572923,0.675,1.4,0.02,2001,,0.99,0.99,35370,,
93,925,826,UNITED KINGDOM,UNITED KINGDOM,EUR,59667844,0.003093483596,0.892,1.7,0.088,2000,,1,1,31460,,
93,928,804,UKRAINE,UKRAINE,EUR,46480703,-0.0091839489131,0.673,1.1,0.174,1998,0.994,0.84,0.84,6250,0.029,1999
94,125,12,ALGERIA,ALGERIA,AFR,32853798,0.013593489152,0.6,2.5,,,0.698,0.96,0.94,6260,,
94,141,24,ANGOLA,ANGOLA,AFR,15941392,0.023496775372,0.372,6.7,,,0.668,0.66,0.57,2030,,
94,210,72,BOTSWANA,BOTSWANA,AFR,1764926,0.0091194148897,0.525,3.1,,,0.789,0.79,0.83,8920,,
94,252,108,BURUNDI,BURUNDI,AFR,7547515,0.016886898232,0.106,6.8,,,0.589,0.62,0.52,660,0.546,1998
94,257,120,CAMEROON,CAMEROON,AFR,16321863,0.018876958414,0.529,4.5,0.139,2003,0.679,,,2090,0.171,2001
94,264,132,CAPE VERDE,CAPE VERDE,AFR,506807,0.021290215741,0.576,3.6,,,0.757,1,0.98,5650,,
94,269,140,CENTRAL AFRICAN REP.,CENTRAL AFRICAN REPUBLIC,AFR,4037747,0.015598200783,0.438,4.9,,,0.486,,,1110,,
94,273,148,CHAD,CHAD,AFR,9748931,0.029949125034,0.258,6.7,0.147,2003,0.255,0.72,0.49,1420,,
94,286,174,COMOROS,COMOROS,AFR,797902,0.025013308506,0.363,4.7,,,0.562,0.59,0.5,1840,,
94,290,178,CONGO,CONGO,AFR,3998904,0.029066502331,0.544,6.3,,,0.828,0.55,0.53,750,,
94,291,180,ZAIRE,"CONGO, THE DEMOCRATIC REPUBLIC OF THE",AFR,57548744,0.021844242782,0.327,6.7,,,0.653,,,680,,
94,311,204,BENIN,BENIN,AFR,8438853,0.028056074846,0.461,5.7,0.093,1999,0.336,0.69,0.47,1120,,
94,317,262,DJIBOUTI,DJIBOUTI,EMR,793078,0.024983537206,0.846,4.9,,,,0.4,0.32,2270,,
94,327,232,ERITREA,ERITREA,AFR,4401357,0.031696839705,0.208,5.4,0.081,2000,,0.49,0.42,1050,,
94,332,226,EQUATORIAL GUINEA,EQUATORIAL GUINEA,AFR,503519,0.021449692733,0.5,5.9,,,0.842,0.91,0.78,7400,,
94,335,231,ETHIOPIA,ETHIOPIA,AFR,77430702,0.023368242906,0.162,5.7,0.094,1998,0.415,0.55,0.47,810,0.23,
94,388,266,GABON,GABON,AFR,1383841,0.019895093667,0.852,3.9,0.169,1998,,0.79,0.78,5600,,
94,389,270,GAMBIA,GAMBIA,AFR,1517079,0.028541285508,0.261,4.6,,,,0.79,0.78,1900,0.593,1998
94,396,288,GHANA,GHANA,AFR,22112805,0.020271186925,0.463,4.2,0.083,2002,0.541,0.64,0.62,2280,0.448,
94,417,324,GUINEA,GUINEA,AFR,9402098,0.020322591613,0.365,5.8,0.147,1997,,0.73,0.58,2130,,
94,485,384,IVORY COAST,COTE D'IVOIRE,AFR,18153867,0.019347451164,0.458,4.9,0.123,1997,0.481,0.67,0.54,1390,0.108,2002
94,505,404,KENYA,KENYA,AFR,34255722,0.020854611973,0.416,5,0.117,2002,0.736,0.66,0.66,1050,0.228,1997
94,543,426,LESOTHO,LESOTHO,AFR,1794769,0.0060773054482,0.182,3.5,,,0.814,0.83,0.89,3210,,
94,545,430,LIBERIA,LIBERIA,AFR,3283267,0.042296383741,0.479,6.8,,,0.559,0.79,0.61,,,
94,550,434,LIBYA,LIBYAN ARAB JAMAHIRIYA,EMR,5853452,0.017886573995,0.869,2.9,,,0.817,,,,,
94,575,450,MADAGASCAR,MADAGASCAR,AFR,18605921,0.026490577581,0.27,5.3,0.145,2002,0.706,0.78,0.79,830,0.61,2001
94,577,454,MALAWI,MALAWI,AFR,12883935,0.022323211489,0.172,6,0.13,1998,0.641,,,620,0.417,
94,585,466,MALI,MALI,AFR,13518416,0.026060684304,0.337,6.8,0.137,2000,0.19,0.5,0.39,980,,
94,592,478,MAURITANIA,MAURITANIA,AFR,3068742,0.026251487967,0.643,5.7,0.089,1999,0.512,0.68,0.67,2050,0.259,2000
94,593,480,MAURITIUS,MAURITIUS,AFR,1244663,0.0092593365447,0.438,2,0.096,2000,0.843,0.96,0.98,11870,,
94,610,504,MOROCCO,MOROCCO,EMR,31478460,0.013963747766,0.588,2.7,0.017,1999,0.507,0.92,0.87,4100,,1999
94,615,508,MOZAMBIQUE,MOZAMBIQUE,AFR,19792295,0.020517630909,0.38,5.4,0.162,2002,0.465,0.58,0.53,1160,,
94,667,562,NIGER,NIGER,AFR,13956977,0.031186964927,0.233,7.8,0.145,1997,0.144,0.45,0.31,830,,
94,670,566,NIGERIA,NIGERIA,AFR,131529669,0.021629878714,0.483,5.7,0.111,2002,0.668,0.74,0.6,930,0.702,1997
94,737,624,GUINEA-BISSAU,GUINEA-BISSAU,AFR,1586344,0.026156677473,0.356,7.1,,,,0.53,0.37,690,,
94,758,646,RWANDA,RWANDA,AFR,9037690,0.050268462994,0.218,5.6,0.046,1999,0.64,0.85,0.88,1300,0.517,
94,783,678,SAO TOME/PRINCIPE,SAO TOME AND PRINCIPE,AFR,156523,0.018369021685,0.379,3.9,,,,1,0.94,,,
94,787,686,SENEGAL,SENEGAL,AFR,11658172,0.022444213579,0.51,4.9,,,0.393,0.71,0.66,1720,,
94,788,690,SEYCHELLES,SEYCHELLES,AFR,80654,0.0059397390304,0.502,2.1,,,0.919,1,0.99,15590,,
94,790,694,SIERRA LEONE,SIERRA LEONE,AFR,5525478,0.025792126406,0.402,6.5,,,0.296,,,790,,
94,800,706,SOMALIA,SOMALIA,EMR,8227826,0.02353126337,0.359,6.3,,,,,,,,
94,801,710,SOUTH AFRICA,SOUTH AFRICA,AFR,47431829,0.012012850048,0.579,2.8,,,0.824,0.89,0.89,10960,0.107,2000
94,818,716,ZIMBABWE,ZIMBABWE,AFR,13009534,0.009068461066,0.359,3.4,0.133,1997,0.9,0.79,0.8,2180,,
94,821,516,NAMIBIA,NAMIBIA,AFR,2031252,0.019798398405,0.335,3.8,0.105,1999,0.85,0.76,0.81,6960,,
94,835,736,SUDAN,SUDAN,EMR,36232945,0.019265082205,0.408,4.3,,,0.59,0.5,0.42,1870,,
94,847,748,SWAZILAND,SWAZILAND,AFR,1032438,0.0082070600932,0.239,3.8,,,0.792,0.75,0.75,4970,,
94,865,834,TANZANIA,"TANZANIA, UNITED REPUBLIC OF",AFR,38328809,0.019794116343,0.375,4.9,0.122,1998,0.694,0.83,0.81,660,,
94,883,768,TOGO,TOGO,AFR,6145004,0.028708896268,0.363,5.2,,,0.53,0.99,0.83,1690,,
94,890,788,TUNISIA,TUNISIA,EMR,10102467,0.010805505356,0.644,1.9,0.018,1999,0.743,0.97,0.97,7310,,2000
94,910,800,UGANDA,UGANDA,AFR,28816229,0.02905363675,0.124,7.1,0.136,1999,0.689,,,1520,0.849,1999
94,922,818,EGYPT,EGYPT,EMR,74032884,0.017246539654,0.423,3.2,0.026,1999,0.556,0.93,0.9,4120,0.031,
94,927,854,BURKINA FASO,BURKINA FASO,AFR,13227835,0.026906631338,0.186,6.6,0.101,2002,0.128,0.42,0.31,1220,0.449,1998
94,990,894,ZAMBIA,ZAMBIA,AFR,11668457,0.018466667611,0.365,5.5,0.137,2000,0.679,0.69,0.68,890,0.637,1998
95,110,4,AFGHANISTAN,AFGHANISTAN,EMR,29863005,0.032916324332,0.243,7.4,,,,,,,,
95,181,48,BAHRAIN,BAHRAIN,EMR,726617,0.020528632466,0.902,2.4,0.024,1999,0.877,0.89,0.91,18070,,
95,182,50,BANGLADESH,BANGLADESH,SEAR,141822276,0.018011737311,0.25,3.2,0.226,2003,0.411,0.82,0.86,1980,0.36,2000
95,200,64,BHUTAN,BHUTAN,SEAR,2162546,0.020159716099,0.091,4.2,,,,,,,,
95,232,96,BRUNEI,BRUNEI DARUSSALAM,WPR,373819,0.021721262117,0.776,2.4,0.064,2000,0.927,,,,,
95,250,104,MYANMAR,MYANMAR,SEAR,50519492,0.01173044863,0.306,2.3,,,0.897,0.84,0.85,,,
95,255,116,CAMBODIA,CAMBODIA,WPR,14071014,0.019563820681,0.197,4,0.058,1999,0.736,0.96,0.91,2180,0.341,1997
95,272,144,SRI LANKA,SRI LANKA,SEAR,20742905,0.0086528375803,0.21,1.9,,,0.904,,,4000,0.076,
95,280,156,CHINA,CHINA,WPR,1323344591,0.0070435215315,0.405,1.7,0.01,2001,0.909,,,5530,0.166,2001
95,305,196,CYPRUS,CYPRUS,EUR,835307,0.012280321921,0.695,1.6,0.029,2000,0.968,0.96,0.96,22330,,
95,455,356,INDIA,INDIA,SEAR,1103370802,0.015126525807,0.287,3,0.081,1997,0.61,0.9,0.85,3100,0.347,
95,458,360,INDONESIA,INDONESIA,SEAR,222781487,0.011834867261,0.479,2.3,0.099,2001,0.879,0.93,0.92,3460,0.075,2002
95,460,364,IRAN,"IRAN, ISLAMIC REPUBLIC OF",EMR,69515206,0.0099387374489,0.681,2.1,0.08,2000,0.77,0.88,0.85,7550,,1998
95,465,368,IRAQ,IRAQ,EMR,28807190,0.026348211358,0.668,4.7,,,,0.98,0.83,,,
95,475,376,ISRAEL,ISRAEL,EUR,6724564,0.020772118951,0.917,2.8,0.029,2000,0.969,0.99,0.99,23510,,
95,490,392,JAPAN,JAPAN,WPR,128084652,0.0019368433743,0.657,1.3,0.02,2000,,1,1,30040,,
95,500,400,JORDAN,JORDAN,EMR,5702776,0.026331075543,0.793,3.4,0.038,2001,0.899,0.91,0.93,4640,,1997
95,510,417,KYRGYZSTAN,KYRGYZSTAN,EUR,5263794,0.012672666945,0.337,2.6,0.071,2000,0.987,0.91,0.88,1840,,2002
95,514,408,"KOREA, NORTH","KOREA, DEMOCRATIC PEOPLE'S REPUBLIC OF",SEAR,22487661,0.0067937180626,0.617,2,,,,,,,,
95,515,410,"KOREA, SOUTH","KOREA, REPUBLIC OF",WPR,47816936,0.0057121450087,0.808,1.2,0.008,2000,,1,1,20400,,1998
95,520,414,KUWAIT,KUWAIT,EMR,2686873,0.043928257533,0.964,2.3,,,0.829,0.82,0.84,19510,,
95,525,398,KAZAKHSTAN,KAZAKHSTAN,EUR,14825105,-0.0066730085791,0.559,1.9,0.104,1997,0.995,0.92,0.91,6980,,2003
95,530,418,LAOS,LAO PEOPLE'S DEMOCRATIC REPUBLIC,WPR,5924145,0.021411161687,0.216,4.7,0.105,1997,0.687,0.88,0.82,1850,0.263,
95,540,422,LEBANON,LEBANON,EMR,3576818,0.010892986656,0.88,2.3,,,,0.91,0.9,5380,,
95,580,458,MALAYSIA,MALAYSIA,WPR,25347368,0.020299266554,0.651,2.8,0.024,1998,0.887,0.93,0.93,9630,,1997
95,583,462,MALDIVES,MALDIVES,SEAR,329198,0.024639096173,0.297,4.1,,,0.963,0.92,0.93,,,
95,608,496,MONGOLIA,MONGOLIA,WPR,2646487,0.0090411528904,0.57,2.4,0.062,2000,0.978,0.78,0.8,2020,0.27,1998
95,616,512,OMAN,OMAN,EMR,2566981,0.015282407709,0.786,3.6,,,0.744,0.72,0.72,13250,,
95,625,524,NEPAL,NEPAL,SEAR,27132629,0.020619120553,0.158,3.6,0.135,2000,0.486,0.75,0.66,1470,,
95,626,626,EAST TIMOR,TIMOR-LESTE,SEAR,947064,0.0045369243861,0.078,7.8,,,,,,,,
95,700,586,PAKISTAN,PAKISTAN,EMR,157935075,0.02073375654,0.348,4.1,0.068,1999,0.487,0.68,0.5,2160,0.134,
95,725,608,PHILIPPINES,PHILIPPINES,WPR,83054478,0.017829677951,0.626,3.1,0.075,2002,0.926,0.93,0.95,4890,0.155,2000
95,747,634,QATAR,QATAR,EMR,812842,0.039828586951,0.923,2.9,,,0.892,0.95,0.94,,,
95,784,762,TAJIKISTAN,TAJIKISTAN,EUR,6506980,0.010898842756,0.242,3.7,,,0.995,0.97,0.91,1150,0.074,2003
95,785,682,SAUDI ARABIA,SAUDI ARABIA,EMR,24573100,0.025152850327,0.885,3.9,,,0.794,0.55,0.54,14010,,
95,795,702,SINGAPORE,SINGAPORE,WPR,4325539,0.020787913551,1,1.3,0.028,2000,0.925,,,26590,,
95,825,643,RUSSIA,RUSSIAN FEDERATION,EUR,143201572,-0.0029333493758,0.733,1.3,0.113,2001,0.994,0.89,0.9,9620,,2002
95,858,760,SYRIA,SYRIAN ARAB REPUBLIC,EMR,19043382,0.023331983134,0.503,3.3,,,0.829,1,0.96,3550,,
95,875,764,THAILAND,THAILAND,SEAR,64232758,0.0088253644827,0.325,1.9,0.084,2000,0.926,0.87,0.84,8020,,2000
95,888,784,UNITED ARAB EMIRATES,UNITED ARAB EMIRATES,EMR,4495823,0.058134000747,0.855,2.5,,,0.773,0.84,0.82,21000,,
95,905,792,TURKEY,TURKEY,EUR,73192838,0.014364472005,0.673,2.4,0.114,2000,0.883,0.89,0.84,7680,,2000
95,909,795,TURKMENISTAN,TURKMENISTAN,EUR,4833266,0.012892177415,0.458,2.7,0.048,1998,0.988,,,6910,0.121,1998
95,931,860,UZBEKISTAN,UZBEKISTAN,EUR,26593123,0.013506689542,0.364,2.7,0.041,2000,0.993,,,1860,0.173,2000
95,945,704,VIETNAM,VIET NAM,WPR,84238231,0.012844842893,0.267,2.3,0.059,2001,0.903,0.98,0.92,2700,,2000
95,965,887,YEMEN,YEMEN,EMR,20974655,0.029377539301,0.263,6,,,0.49,0.84,0.59,820,0.157,1998
96,63,583,MICRONESIA,"MICRONESIA, FEDERATED STATES OF",WPR,110487,0.0022875937633,0.3,4.3,,,,,,,,
96,73,584,MARSHALL ISLANDS,MARSHALL ISLANDS,WPR,61963,0.015893136445,0.667,4.4,,,,0.77,0.75,,,
96,75,585,PALAU,PALAU,WPR,19949,0.013287491639,0.682,1.4,,,,0.98,0.94,,,
96,155,36,ASHMORE/CARTIER,AUSTRALIA,WPR,20155129,0.010633765174,0.927,1.7,0.05,2000,,0.96,0.97,29200,,
96,160,36,AUSTRALIA,AUSTRALIA,WPR,20155129,0.010633765174,0.927,1.7,0.05,2000,,0.96,0.97,29200,,
96,229,90,SOLOMON ISLANDS,SOLOMON ISLANDS,WPR,477742,0.025012323892,0.171,4.2,,,,,,1760,,
96,293,184,COOK ISLANDS,COOK ISLANDS,WPR,17954,-0.0098516808008,0.733,2.6,,,,,,,,
96,294,36,CORAL SEA ISLANDS,AUSTRALIA,WPR,20155129,0.010633765174,0.927,1.7,0.05,2000,,0.96,0.97,29200,,
96,338,242,FIJI,FIJI,WPR,847706,0.009107631752,0.532,2.9,,,0.929,1,1,5770,,
96,398,296,KIRIBATI,KIRIBATI,WPR,99350,0.019412539207,0.502,4.1,,,,,,,,
96,621,520,NAURU,NAURU,WPR,13635,0.02205856798,1,3.8,,,,0.8,0.82,,,
96,651,548,VANUATU,VANUATU,WPR,211367,0.01872758418,0.237,4,,,0.74,0.93,0.95,2790,,
96,660,554,NEW ZEALAND,NEW ZEALAND,WPR,4028384,0.0087136750837,0.86,2,0.072,2000,,1,1,22130,,
96,672,570,NIUE,NIUE,WPR,1445,-0.019500386558,0.367,2.8,,,,0.99,0.98,,,
96,712,598,PAPUA NEW GUINEA,PAPUA NEW GUINEA,WPR,5887138,0.021034816395,0.132,3.9,,,0.573,0.79,0.69,2300,,
96,886,776,TONGA,TONGA,WPR,102311,0.0051610797826,0.34,3.4,,,0.989,1,1,7220,,
96,908,798,TUVALU,TUVALU,WPR,10441,0.0057982441589,0.57,3.7,,,,,,,,
96,963,882,SAMOA,SAMOA,WPR,184984,0.0088522634545,0.225,4.3,,,0.987,0.99,0.96,5670,,
